q_id,lo_id,difficulty,irt_a,irt_b,irt_c,text
Q0032,LO10,Medium,1.433,-0.2,0.222,Stem for LO10 (Medium) #32
Q0033,LO01,Easy,0.694,-0.979,0.105,Stem for LO01 (Easy) #33
Q0034,LO23,Easy,1.102,-0.874,0.091,Stem for LO23 (Easy) #34
Q0035,LO05,Medium,0.5,-0.146,0.172,Stem for LO05 (Medium) #35
Q0036,LO23,Medium,1.314,0.475,0.13,Stem for LO23 (Medium) #36
Q0037,LO08,Medium,1.146,-0.211,0.225,Stem for LO08 (Medium) #37
Q0038,LO29,Medium,1.242,0.271,0.114,Stem for LO29 (Medium) #38
Q0039,LO19,Medium,1.21,0.041,0.117,Stem for LO19 (Medium) #39
Q0040,LO25,Hard,1.163,0.618,0.246,Stem for LO25 (Hard) #40
Q0041,LO08,Medium,0.939,0.044,0.146,Stem for LO08 (Medium) #41
Q0042,LO19,Easy,1.045,-0.836,0.102,Stem for LO19 (Easy) #42
Q0043,LO14,Medium,0.954,0.582,0.213,Stem for LO14 (Medium) #43
Q0044,LO09,Easy,0.982,-1.429,0.21,Stem for LO09 (Easy) #44
Q0045,LO26,Hard,0.977,0.921,0.073,Stem for LO26 (Hard) #45
Q0046,LO04,Hard,0.726,1.091,0.135,Stem for LO04 (Hard) #46
Q0047,LO12,Medium,0.824,0.574,0.064,Stem for LO12 (Medium) #47
Q0048,LO29,Medium,1.019,0.044,0.183,Stem for LO29 (Medium) #48
Q0049,LO05,Easy,0.537,-0.739,0.135,Stem for LO05 (Easy) #49
Q0050,LO16,Medium,1.238,0.072,0.248,Stem for LO16 (Medium) #50
Q0051,LO17,Hard,0.98,1.632,0.196,Stem for LO17 (Hard) #51
Q0052,LO04,Medium,1.339,0.246,0.06,Stem for LO04 (Medium) #52
Q0053,LO30,Medium,0.671,0.28,0.216,Stem for LO30 (Medium) #53
Q0054,LO28,Medium,1.252,0.595,0.21,Stem for LO28 (Medium) #54
Q0055,LO25,Medium,0.928,0.041,0.226,Stem for LO25 (Medium) #55
Q0056,LO28,Easy,1.106,-1.395,0.061,Stem for LO28 (Easy) #56
Q0057,LO03,Easy,0.775,-1.094,0.057,Stem for LO03 (Easy) #57
Q0058,LO11,Hard,0.97,0.902,0.222,Stem for LO11 (Hard) #58
Q0059,LO20,Hard,0.921,0.726,0.069,Stem for LO20 (Hard) #59
Q0060,LO13,Medium,1.019,0.015,0.151,Stem for LO13 (Medium) #60
Q0061,LO12,Medium,1.516,-0.928,0.094,Stem for LO12 (Medium) #61
Q0062,LO19,Medium,1.207,0.189,0.085,Stem for LO19 (Medium) #62
Q0063,LO07,Easy,1.309,-0.926,0.248,Stem for LO07 (Easy) #63
Q0064,LO26,Medium,1.209,0.044,0.225,Stem for LO26 (Medium) #64
Q0065,LO05,Hard,0.5,0.433,0.094,Stem for LO05 (Hard) #65
Q0066,LO15,Easy,0.548,-1.394,0.16,Stem for LO15 (Easy) #66
Q0067,LO20,Hard,1.541,0.835,0.06,Stem for LO20 (Hard) #67
Q0068,LO28,Medium,0.965,-0.399,0.202,Stem for LO28 (Medium) #68
Q0069,LO19,Hard,0.771,1.059,0.104,Stem for LO19 (Hard) #69
Q0070,LO04,Medium,1.256,-0.32,0.063,Stem for LO04 (Medium) #70
Q0071,LO16,Easy,0.587,-1.126,0.179,Stem for LO16 (Easy) #71
Q0072,LO24,Hard,1.46,1.403,0.237,Stem for LO24 (Hard) #72
Q0073,LO06,Easy,1.58,-0.216,0.089,Stem for LO06 (Easy) #73
Q0074,LO10,Easy,0.683,-1.529,0.135,Stem for LO10 (Easy) #74
Q0075,LO21,Easy,0.969,-1.26,0.114,Stem for LO21 (Easy) #75
Q0076,LO11,Easy,1.684,-0.881,0.172,Stem for LO11 (Easy) #76
Q0077,LO11,Easy,0.944,-1.285,0.07,Stem for LO11 (Easy) #77
Q0078,LO23,Easy,0.5,-1.478,0.22,Stem for LO23 (Easy) #78
Q0079,LO04,Medium,1.387,0.164,0.249,Stem for LO04 (Medium) #79
Q0080,LO14,Medium,1.219,-0.231,0.165,Stem for LO14 (Medium) #80
Q0081,LO02,Hard,0.835,0.551,0.15,Stem for LO02 (Hard) #81
Q0082,LO16,Hard,1.026,1.131,0.167,Stem for LO16 (Hard) #82
Q0083,LO15,Easy,1.171,-0.753,0.071,Stem for LO15 (Easy) #83
Q0084,LO24,Medium,1.505,-0.212,0.136,Stem for LO24 (Medium) #84
Q0085,LO26,Medium,0.876,-0.723,0.128,Stem for LO26 (Medium) #85
Q0086,LO24,Medium,1.455,-0.319,0.182,Stem for LO24 (Medium) #86
Q0087,LO10,Medium,0.811,0.31,0.126,Stem for LO10 (Medium) #87
Q0088,LO16,Easy,1.3,-0.961,0.093,Stem for LO16 (Easy) #88
Q0089,LO03,Medium,0.985,-0.046,0.215,Stem for LO03 (Medium) #89
Q0090,LO30,Medium,1.178,0.615,0.239,Stem for LO30 (Medium) #90
Q0091,LO28,Medium,1.112,-0.249,0.051,Stem for LO28 (Medium) #91
Q0092,LO19,Medium,1.109,-0.087,0.199,Stem for LO19 (Medium) #92
Q0093,LO02,Hard,0.5,1.318,0.051,Stem for LO02 (Hard) #93
Q0094,LO18,Medium,0.993,0.801,0.163,Stem for LO18 (Medium) #94
Q0095,LO24,Easy,0.868,-1.158,0.149,Stem for LO24 (Easy) #95
Q0096,LO07,Hard,0.527,0.735,0.088,Stem for LO07 (Hard) #96
Q0097,LO17,Medium,1.016,-0.834,0.212,Stem for LO17 (Medium) #97
Q0098,LO16,Medium,0.5,-0.399,0.135,Stem for LO16 (Medium) #98
Q0099,LO15,Medium,0.896,-0.472,0.209,Stem for LO15 (Medium) #99
Q0100,LO07,Easy,1.17,-0.266,0.055,Stem for LO07 (Easy) #100
Q0101,LO26,Medium,0.554,0.476,0.083,Stem for LO26 (Medium) #101
Q0102,LO19,Medium,0.531,0.092,0.142,Stem for LO19 (Medium) #102
Q0103,LO21,Medium,0.523,-0.05,0.088,Stem for LO21 (Medium) #103
Q0104,LO15,Easy,1.263,-0.892,0.212,Stem for LO15 (Easy) #104
Q0105,LO11,Hard,1.141,1.263,0.224,Stem for LO11 (Hard) #105
Q0106,LO27,Medium,1.128,0.176,0.157,Stem for LO27 (Medium) #106
Q0107,LO20,Hard,1.693,1.131,0.191,Stem for LO20 (Hard) #107
Q0108,LO17,Hard,0.924,1.225,0.217,Stem for LO17 (Hard) #108
Q0109,LO10,Easy,1.217,-0.235,0.081,Stem for LO10 (Easy) #109
Q0110,LO22,Hard,0.877,0.898,0.139,Stem for LO22 (Hard) #110
Q0111,LO17,Easy,0.5,-0.655,0.088,Stem for LO17 (Easy) #111
Q0112,LO16,Hard,1.399,1.498,0.192,Stem for LO16 (Hard) #112
Q0113,LO09,Hard,1.249,1.162,0.239,Stem for LO09 (Hard) #113
Q0114,LO19,Medium,1.167,0.071,0.23,Stem for LO19 (Medium) #114
Q0115,LO04,Hard,1.368,-0.147,0.141,Stem for LO04 (Hard) #115
Q0116,LO26,Medium,1.028,0.5,0.065,Stem for LO26 (Medium) #116
Q0117,LO12,Medium,0.725,-0.269,0.172,Stem for LO12 (Medium) #117
Q0118,LO03,Easy,0.5,-0.255,0.094,Stem for LO03 (Easy) #118
Q0119,LO02,Medium,1.173,-0.564,0.097,Stem for LO02 (Medium) #119
Q0120,LO17,Easy,0.853,-1.232,0.164,Stem for LO17 (Easy) #120
Q0121,LO02,Hard,1.196,0.996,0.09,Stem for LO02 (Hard) #121
Q0122,LO16,Medium,0.53,0.504,0.12,Stem for LO16 (Medium) #122
Q0123,LO25,Easy,1.669,-0.602,0.239,Stem for LO25 (Easy) #123
Q0124,LO26,Medium,0.937,0.156,0.114,Stem for LO26 (Medium) #124
Q0125,LO12,Medium,0.727,0.33,0.096,Stem for LO12 (Medium) #125
Q0126,LO24,Easy,0.919,-1.372,0.071,Stem for LO24 (Easy) #126
Q0127,LO22,Medium,1.071,-0.033,0.137,Stem for LO22 (Medium) #127
Q0128,LO09,Medium,1.336,-0.266,0.063,Stem for LO09 (Medium) #128
Q0129,LO30,Medium,1.432,-0.058,0.06,Stem for LO30 (Medium) #129
Q0130,LO18,Medium,0.908,-0.237,0.062,Stem for LO18 (Medium) #130
Q0131,LO30,Hard,0.968,0.842,0.136,Stem for LO30 (Hard) #131
Q0132,LO14,Hard,1.027,1.714,0.183,Stem for LO14 (Hard) #132
Q0133,LO20,Medium,0.783,-0.342,0.135,Stem for LO20 (Medium) #133
Q0134,LO19,Medium,0.614,-0.544,0.093,Stem for LO19 (Medium) #134
Q0135,LO25,Medium,1.033,0.45,0.175,Stem for LO25 (Medium) #135
Q0136,LO04,Hard,0.951,1.838,0.241,Stem for LO04 (Hard) #136
Q0137,LO23,Easy,1.512,-0.82,0.156,Stem for LO23 (Easy) #137
Q0138,LO06,Medium,1.233,-0.324,0.122,Stem for LO06 (Medium) #138
Q0139,LO27,Medium,1.099,0.071,0.112,Stem for LO27 (Medium) #139
Q0140,LO12,Medium,0.678,-0.141,0.146,Stem for LO12 (Medium) #140
Q0141,LO04,Medium,0.655,0.285,0.14,Stem for LO04 (Medium) #141
Q0142,LO14,Easy,1.398,-0.868,0.143,Stem for LO14 (Easy) #142
Q0143,LO25,Medium,0.5,-0.017,0.113,Stem for LO25 (Medium) #143
Q0144,LO06,Easy,1.164,-0.642,0.124,Stem for LO06 (Easy) #144
Q0145,LO09,Easy,1.063,-1.286,0.15,Stem for LO09 (Easy) #145
Q0146,LO19,Hard,0.62,-0.1,0.228,Stem for LO19 (Hard) #146
Q0147,LO20,Hard,0.873,1.432,0.066,Stem for LO20 (Hard) #147
Q0148,LO22,Medium,1.185,0.222,0.164,Stem for LO22 (Medium) #148
Q0149,LO01,Medium,0.651,0.804,0.095,Stem for LO01 (Medium) #149
Q0150,LO06,Hard,0.721,1.607,0.228,Stem for LO06 (Hard) #150
Q0151,LO24,Medium,1.071,-0.042,0.171,Stem for LO24 (Medium) #151
Q0152,LO19,Medium,0.759,0.22,0.084,Stem for LO19 (Medium) #152
Q0153,LO29,Easy,0.783,-1.233,0.131,Stem for LO29 (Easy) #153
Q0154,LO02,Medium,0.781,0.309,0.212,Stem for LO02 (Medium) #154
Q0155,LO26,Easy,0.882,-0.944,0.186,Stem for LO26 (Easy) #155
Q0156,LO30,Easy,0.81,-1.465,0.103,Stem for LO30 (Easy) #156
Q0157,LO25,Medium,0.524,0.01,0.205,Stem for LO25 (Medium) #157
Q0158,LO19,Medium,0.564,-0.505,0.051,Stem for LO19 (Medium) #158
Q0159,LO24,Medium,0.5,0.138,0.092,Stem for LO24 (Medium) #159
Q0160,LO27,Hard,0.789,0.952,0.199,Stem for LO27 (Hard) #160
Q0161,LO16,Medium,1.283,-0.394,0.132,Stem for LO16 (Medium) #161
Q0162,LO14,Hard,0.948,0.708,0.247,Stem for LO14 (Hard) #162
Q0163,LO15,Medium,1.096,0.095,0.099,Stem for LO15 (Medium) #163
Q0164,LO30,Medium,1.34,0.506,0.09,Stem for LO30 (Medium) #164
Q0165,LO22,Easy,1.407,-0.797,0.209,Stem for LO22 (Easy) #165
Q0166,LO07,Hard,1.086,0.899,0.101,Stem for LO07 (Hard) #166
Q0167,LO28,Easy,0.797,-0.787,0.095,Stem for LO28 (Easy) #167
Q0168,LO13,Medium,0.772,0.231,0.178,Stem for LO13 (Medium) #168
Q0169,LO26,Medium,1.353,0.077,0.22,Stem for LO26 (Medium) #169
Q0170,LO08,Easy,1.113,-0.569,0.111,Stem for LO08 (Easy) #170
Q0171,LO26,Medium,1.044,-0.007,0.206,Stem for LO26 (Medium) #171
Q0172,LO05,Medium,1.292,0.003,0.155,Stem for LO05 (Medium) #172
Q0173,LO29,Medium,1.151,-0.966,0.074,Stem for LO29 (Medium) #173
Q0174,LO30,Medium,0.964,0.468,0.129,Stem for LO30 (Medium) #174
Q0175,LO08,Medium,0.848,0.509,0.197,Stem for LO08 (Medium) #175
Q0176,LO09,Medium,0.53,0.155,0.242,Stem for LO09 (Medium) #176
Q0177,LO21,Medium,1.039,0.955,0.12,Stem for LO21 (Medium) #177
Q0178,LO11,Medium,1.357,-0.278,0.132,Stem for LO11 (Medium) #178
Q0179,LO20,Hard,1.085,0.721,0.127,Stem for LO20 (Hard) #179
Q0180,LO19,Hard,1.135,0.909,0.117,Stem for LO19 (Hard) #180
Q0181,LO30,Medium,1.109,-0.29,0.055,Stem for LO30 (Medium) #181
Q0182,LO14,Medium,0.839,0.491,0.061,Stem for LO14 (Medium) #182
Q0183,LO07,Medium,0.839,0.099,0.129,Stem for LO07 (Medium) #183
Q0184,LO13,Easy,0.528,-1.553,0.199,Stem for LO13 (Easy) #184
Q0185,LO29,Hard,0.625,1.164,0.206,Stem for LO29 (Hard) #185
Q0186,LO24,Easy,1.061,-1.451,0.192,Stem for LO24 (Easy) #186
Q0187,LO08,Medium,0.5,0.095,0.145,Stem for LO08 (Medium) #187
Q0188,LO04,Medium,1.307,-0.066,0.212,Stem for LO04 (Medium) #188
Q0189,LO14,Medium,1.192,-0.045,0.244,Stem for LO14 (Medium) #189
Q0190,LO06,Hard,0.841,1.243,0.092,Stem for LO06 (Hard) #190
Q0191,LO28,Easy,0.581,-1.265,0.248,Stem for LO28 (Easy) #191
Q0192,LO03,Easy,0.718,-1.212,0.205,Stem for LO03 (Easy) #192
Q0193,LO03,Medium,0.973,-0.012,0.154,Stem for LO03 (Medium) #193
Q0194,LO29,Medium,1.274,-0.547,0.084,Stem for LO29 (Medium) #194
Q0195,LO22,Medium,1.033,-0.155,0.099,Stem for LO22 (Medium) #195
Q0196,LO24,Medium,1.201,-0.31,0.066,Stem for LO24 (Medium) #196
Q0197,LO26,Medium,0.852,0.357,0.188,Stem for LO26 (Medium) #197
Q0198,LO20,Easy,0.83,-0.56,0.161,Stem for LO20 (Easy) #198
Q0199,LO28,Medium,1.68,-0.412,0.077,Stem for LO28 (Medium) #199
Q0200,LO10,Medium,0.811,-0.423,0.139,Stem for LO10 (Medium) #200
Q0201,LO21,Medium,0.635,0.337,0.138,Stem for LO21 (Medium) #201
Q0202,LO25,Easy,0.907,-1.181,0.202,Stem for LO25 (Easy) #202
Q0203,LO23,Medium,1.512,0.448,0.236,Stem for LO23 (Medium) #203
Q0204,LO28,Medium,0.664,0.585,0.064,Stem for LO28 (Medium) #204
Q0205,LO15,Medium,0.5,-0.393,0.149,Stem for LO15 (Medium) #205
Q0206,LO17,Hard,0.522,1.121,0.093,Stem for LO17 (Hard) #206
Q0207,LO15,Easy,0.998,-0.89,0.204,Stem for LO15 (Easy) #207
Q0208,LO17,Easy,0.902,-1.059,0.238,Stem for LO17 (Easy) #208
Q0209,LO23,Easy,0.988,-0.823,0.178,Stem for LO23 (Easy) #209
Q0210,LO10,Medium,0.5,0.191,0.15,Stem for LO10 (Medium) #210
Q0211,LO13,Medium,1.288,-0.781,0.095,Stem for LO13 (Medium) #211
Q0212,LO22,Easy,1.051,-1.185,0.249,Stem for LO22 (Easy) #212
Q0213,LO09,Hard,1.145,0.896,0.222,Stem for LO09 (Hard) #213
Q0214,LO13,Easy,1.193,-1.352,0.111,Stem for LO13 (Easy) #214
Q0215,LO28,Medium,1.468,-0.35,0.231,Stem for LO28 (Medium) #215
Q0216,LO18,Easy,0.665,-0.834,0.162,Stem for LO18 (Easy) #216
Q0217,LO24,Medium,1.066,-0.103,0.2,Stem for LO24 (Medium) #217
Q0218,LO25,Medium,1.003,0.352,0.22,Stem for LO25 (Medium) #218
Q0219,LO11,Medium,0.5,0.013,0.161,Stem for LO11 (Medium) #219
Q0220,LO06,Medium,0.808,0.093,0.105,Stem for LO06 (Medium) #220
Q0221,LO01,Easy,1.143,-1.277,0.054,Stem for LO01 (Easy) #221
Q0222,LO01,Easy,0.581,-0.738,0.139,Stem for LO01 (Easy) #222
Q0223,LO26,Easy,1.307,-0.884,0.052,Stem for LO26 (Easy) #223
Q0224,LO17,Hard,0.889,1.094,0.091,Stem for LO17 (Hard) #224
Q0225,LO06,Medium,0.815,-0.478,0.241,Stem for LO06 (Medium) #225
Q0226,LO27,Medium,1.543,0.57,0.095,Stem for LO27 (Medium) #226
Q0227,LO15,Easy,1.427,-1.183,0.054,Stem for LO15 (Easy) #227
Q0228,LO10,Medium,0.681,0.08,0.212,Stem for LO10 (Medium) #228
Q0229,LO14,Medium,1.307,-0.313,0.171,Stem for LO14 (Medium) #229
Q0230,LO21,Easy,0.826,-1.62,0.133,Stem for LO21 (Easy) #230
Q0231,LO08,Easy,0.677,-1.222,0.09,Stem for LO08 (Easy) #231
Q0232,LO19,Easy,1.186,-1.464,0.052,Stem for LO19 (Easy) #232
Q0233,LO28,Medium,0.859,0.174,0.244,Stem for LO28 (Medium) #233
Q0234,LO06,Easy,0.5,-0.524,0.173,Stem for LO06 (Easy) #234
Q0235,LO17,Medium,1.308,-0.127,0.198,Stem for LO17 (Medium) #235
Q0236,LO22,Medium,0.5,0.452,0.152,Stem for LO22 (Medium) #236
Q0237,LO03,Medium,0.825,-0.407,0.124,Stem for LO03 (Medium) #237
Q0238,LO30,Easy,0.879,-1.345,0.197,Stem for LO30 (Easy) #238
Q0239,LO06,Easy,1.481,-1.013,0.22,Stem for LO06 (Easy) #239
Q0240,LO24,Medium,0.618,0.038,0.189,Stem for LO24 (Medium) #240
Q0241,LO08,Hard,0.886,0.279,0.185,Stem for LO08 (Hard) #241
Q0242,LO26,Easy,1.6,-0.977,0.107,Stem for LO26 (Easy) #242
Q0243,LO11,Medium,0.804,0.086,0.219,Stem for LO11 (Medium) #243
Q0244,LO02,Hard,0.914,0.766,0.227,Stem for LO02 (Hard) #244
Q0245,LO14,Medium,0.919,-0.094,0.188,Stem for LO14 (Medium) #245
Q0246,LO04,Easy,0.973,-1.172,0.133,Stem for LO04 (Easy) #246
Q0247,LO02,Medium,0.908,0.042,0.173,Stem for LO02 (Medium) #247
Q0248,LO10,Medium,0.5,0.087,0.1,Stem for LO10 (Medium) #248
Q0249,LO12,Medium,1.051,-0.224,0.126,Stem for LO12 (Medium) #249
Q0250,LO26,Medium,0.913,0.079,0.119,Stem for LO26 (Medium) #250
Q0251,LO16,Medium,0.592,0.156,0.238,Stem for LO16 (Medium) #251
Q0252,LO10,Medium,1.026,0.157,0.208,Stem for LO10 (Medium) #252
Q0253,LO01,Medium,0.841,0.886,0.058,Stem for LO01 (Medium) #253
Q0254,LO11,Medium,1.076,-0.562,0.248,Stem for LO11 (Medium) #254
Q0255,LO14,Easy,0.667,-0.524,0.115,Stem for LO14 (Easy) #255
Q0256,LO01,Hard,1.198,0.996,0.239,Stem for LO01 (Hard) #256
Q0257,LO15,Easy,0.992,-1.264,0.135,Stem for LO15 (Easy) #257
Q0258,LO01,Medium,0.763,0.052,0.151,Stem for LO01 (Medium) #258
Q0259,LO28,Hard,0.558,1.226,0.221,Stem for LO28 (Hard) #259
Q0260,LO26,Medium,1.392,-0.197,0.11,Stem for LO26 (Medium) #260
Q0261,LO12,Easy,1.034,-0.705,0.186,Stem for LO12 (Easy) #261
Q0262,LO14,Medium,1.088,0.369,0.12,Stem for LO14 (Medium) #262
Q0263,LO06,Medium,0.771,-0.552,0.221,Stem for LO06 (Medium) #263
Q0264,LO02,Easy,1.031,-1.449,0.058,Stem for LO02 (Easy) #264
Q0265,LO18,Medium,1.348,1.143,0.199,Stem for LO18 (Medium) #265
Q0266,LO11,Hard,0.852,0.276,0.192,Stem for LO11 (Hard) #266
Q0267,LO04,Medium,0.566,0.689,0.083,Stem for LO04 (Medium) #267
Q0268,LO04,Medium,0.948,0.386,0.053,Stem for LO04 (Medium) #268
Q0269,LO16,Hard,0.941,0.863,0.072,Stem for LO16 (Hard) #269
Q0270,LO23,Easy,1.017,-1.514,0.126,Stem for LO23 (Easy) #270
Q0271,LO08,Medium,0.5,-0.366,0.068,Stem for LO08 (Medium) #271
Q0272,LO19,Easy,1.048,-0.591,0.236,Stem for LO19 (Easy) #272
Q0273,LO01,Medium,0.86,-0.252,0.205,Stem for LO01 (Medium) #273
Q0274,LO03,Hard,1.04,1.328,0.203,Stem for LO03 (Hard) #274
Q0275,LO23,Hard,1.261,0.678,0.069,Stem for LO23 (Hard) #275
Q0276,LO28,Medium,0.5,-0.286,0.057,Stem for LO28 (Medium) #276
Q0277,LO30,Medium,0.846,0.56,0.221,Stem for LO30 (Medium) #277
Q0278,LO11,Easy,1.117,-0.801,0.14,Stem for LO11 (Easy) #278
Q0279,LO03,Easy,1.147,-1.104,0.226,Stem for LO03 (Easy) #279
Q0280,LO06,Hard,1.232,1.222,0.151,Stem for LO06 (Hard) #280
Q0281,LO09,Medium,1.02,-0.011,0.08,Stem for LO09 (Medium) #281
Q0282,LO24,Medium,1.127,0.427,0.101,Stem for LO24 (Medium) #282
Q0283,LO11,Hard,0.887,1.13,0.218,Stem for LO11 (Hard) #283
Q0284,LO05,Medium,1.254,0.128,0.167,Stem for LO05 (Medium) #284
Q0285,LO05,Easy,0.9,0.082,0.163,Stem for LO05 (Easy) #285
Q0286,LO12,Easy,0.717,-0.625,0.064,Stem for LO12 (Easy) #286
Q0287,LO22,Medium,0.981,0.293,0.074,Stem for LO22 (Medium) #287
Q0288,LO12,Hard,1.18,1.133,0.168,Stem for LO12 (Hard) #288
Q0289,LO29,Medium,0.777,-0.209,0.071,Stem for LO29 (Medium) #289
Q0290,LO22,Medium,1.39,0.253,0.234,Stem for LO22 (Medium) #290
Q0291,LO30,Easy,1.844,-1.684,0.239,Stem for LO30 (Easy) #291
Q0292,LO11,Medium,0.677,-0.12,0.088,Stem for LO11 (Medium) #292
Q0293,LO10,Hard,1.016,1.192,0.063,Stem for LO10 (Hard) #293
Q0294,LO18,Medium,1.636,0.094,0.069,Stem for LO18 (Medium) #294
Q0295,LO02,Hard,0.5,1.007,0.077,Stem for LO02 (Hard) #295
Q0296,LO26,Medium,1.165,0.29,0.062,Stem for LO26 (Medium) #296
Q0297,LO10,Medium,1.011,0.069,0.089,Stem for LO10 (Medium) #297
Q0298,LO21,Medium,0.935,-0.325,0.157,Stem for LO21 (Medium) #298
Q0299,LO08,Medium,1.027,0.242,0.243,Stem for LO08 (Medium) #299
Q0300,LO09,Hard,1.131,1.244,0.136,Stem for LO09 (Hard) #300
Q0301,LO16,Medium,1.294,0.517,0.069,Stem for LO16 (Medium) #301
Q0302,LO14,Easy,1.003,-1.039,0.195,Stem for LO14 (Easy) #302
Q0303,LO17,Hard,1.028,0.693,0.201,Stem for LO17 (Hard) #303
Q0304,LO18,Hard,1.07,1.06,0.093,Stem for LO18 (Hard) #304
Q0305,LO26,Hard,1.083,1.194,0.088,Stem for LO26 (Hard) #305
Q0306,LO27,Medium,0.723,-0.418,0.228,Stem for LO27 (Medium) #306
Q0307,LO11,Medium,0.729,-0.122,0.244,Stem for LO11 (Medium) #307
Q0308,LO05,Medium,1.283,0.197,0.058,Stem for LO05 (Medium) #308
Q0309,LO22,Medium,0.777,-0.022,0.196,Stem for LO22 (Medium) #309
Q0310,LO30,Medium,1.203,-0.953,0.137,Stem for LO30 (Medium) #310
Q0311,LO29,Medium,1.1,0.099,0.17,Stem for LO29 (Medium) #311
Q0312,LO19,Hard,0.765,1.055,0.086,Stem for LO19 (Hard) #312
Q0313,LO27,Medium,1.237,0.243,0.203,Stem for LO27 (Medium) #313
Q0314,LO25,Hard,1.125,0.564,0.131,Stem for LO25 (Hard) #314
Q0315,LO15,Easy,1.038,-2.226,0.092,Stem for LO15 (Easy) #315
Q0316,LO04,Medium,0.5,0.494,0.125,Stem for LO04 (Medium) #316
Q0317,LO06,Hard,1.083,1.183,0.188,Stem for LO06 (Hard) #317
Q0318,LO07,Medium,1.291,-0.632,0.084,Stem for LO07 (Medium) #318
Q0319,LO27,Easy,1.361,-1.171,0.195,Stem for LO27 (Easy) #319
Q0320,LO01,Hard,0.775,0.797,0.055,Stem for LO01 (Hard) #320
Q0321,LO02,Easy,0.733,-2.105,0.16,Stem for LO02 (Easy) #321
Q0322,LO24,Medium,1.581,0.005,0.248,Stem for LO24 (Medium) #322
Q0323,LO13,Easy,1.248,-0.888,0.146,Stem for LO13 (Easy) #323
Q0324,LO03,Medium,1.11,-0.115,0.134,Stem for LO03 (Medium) #324
Q0325,LO27,Medium,0.919,0.168,0.115,Stem for LO27 (Medium) #325
Q0326,LO21,Easy,0.5,-0.793,0.224,Stem for LO21 (Easy) #326
Q0327,LO10,Medium,1.051,0.4,0.22,Stem for LO10 (Medium) #327
Q0328,LO03,Easy,0.99,-1.197,0.202,Stem for LO03 (Easy) #328
Q0329,LO08,Hard,1.25,1.42,0.064,Stem for LO08 (Hard) #329
Q0330,LO26,Medium,0.5,-0.075,0.169,Stem for LO26 (Medium) #330
Q0331,LO18,Hard,0.947,0.723,0.075,Stem for LO18 (Hard) #331
Q0332,LO12,Medium,1.186,-0.015,0.229,Stem for LO12 (Medium) #332
Q0333,LO17,Hard,0.5,1.06,0.109,Stem for LO17 (Hard) #333
Q0334,LO27,Hard,1.471,0.601,0.133,Stem for LO27 (Hard) #334
Q0335,LO10,Medium,1.76,0.592,0.097,Stem for LO10 (Medium) #335
